Page,Edits,Editors,Views
"La vida de Lazarillo de Tormes",?,?,78274
"Irina Shayk",?,?,78191
"Migración",?,?,78139
"Sistema nervioso",?,?,78135
"Vladímir Putin",?,?,78111
"Felis silvestris catus",?,?,77977
"Shawn Mendes",?,?,77956
"ASMR",?,?,77907
"Atentados de Noruega de 2011",?,?,77457
"Roger Taylor",?,?,77447
"Judaísmo",?,?,77442
"Iván Marcone",?,?,77396
"Michael Schumacher",?,?,77370
"Friends",?,?,77297
"Imperialismo",?,?,77291
"Matías Suárez",?,?,77283
"Cantinflas",?,?,77237
"Yurena",?,?,77078
"Torre Eiffel",?,?,77069
"El regreso de Mary Poppins",?,?,77017
"Pitágoras",?,?,77013
"Salida del Reino Unido de la Unión Europea",?,?,76988
"Sigmund Freud",?,?,76911
"Elsa Pataky",?,?,76852
"Felipe de Edimburgo",?,?,76839
"Michael Douglas",?,?,76768
"Apolo 11",?,?,76768
"Discriminación",?,?,76383
"Gustavo Cerati",?,?,76337
"Elemento químico",?,?,76313
"Adam Sandler",?,?,76300
"Jason Todd",?,?,76287
"Capitalismo",?,?,76268
"Número natural",?,?,76167
"John Lennon",?,?,76149
"Imperio azteca",?,?,75925
"Generación X",?,?,75784
"Madonna",?,?,75771
"Cristianismo",?,?,75707
"John Travolta",?,?,75642
"Buenos Aires",?,?,75567
"Mario Casas",?,?,75564
"Filipinas",?,?,75376
"Cultura tolteca",?,?,75244
"Fortnite (videojuego)",?,?,75134
"Virreinato de Nueva España",?,?,75057
"Expropiación del petróleo en México",?,?,75036
"Selena",?,?,75007
"Ciclo hidrológico",?,?,74973
"Creed (película)",?,?,74955
"Walt Disney",?,?,74945
"Guerra de Reforma",?,?,74936
"Internet Movie Database",?,?,74867
"Mila Kunis",?,?,74636
"Natalie Portman",?,?,74566
"Kylian Mbappé",?,?,74356
"LSD",?,?,74169
"Gran Muralla China",?,?,74129
"Najwa Nimri",?,?,74114
"Informática",?,?,74009
"Juego de tronos (serie de televisión)",?,?,73774
"Lily Collins",?,?,73497
"Neymar",?,?,73466
"Ben Affleck",?,?,73389
"Naruto",?,?,73388
"Julia Roberts",?,?,73372
"América",?,?,73285
"Ciencias naturales",?,?,73272
"Aguardiente",?,?,73247
"Kylie Jenner",?,?,73153
"Noruega",?,?,73115
"Copa del Rey",?,?,72859
"Átomo",?,?,72752
"Zeus",?,?,72692
"Katelyn Ohashi",?,?,72580
"Gran Hermano Dúo",?,?,72556
"Gillian Anderson",?,?,72555
"José José",?,?,72545
"Liberalismo",?,?,72527
"Jesús de Nazaret",?,?,72498
"Club América",?,?,72466
"Cultura zapoteca",?,?,72446
"Google",?,?,72425
"Machu Picchu",?,?,72213
"Continente",?,?,72197
"José Luis Pérez-Albela",?,?,71982
"Romanticismo",?,?,71980
"Lydia Bosch",?,?,71902
"Computadora",?,?,71891
"Matadero (serie de televisión)",?,?,71871
"John F. Kennedy",?,?,71843
"Margot Robbie",?,?,71837
"Blanca Suárez",?,?,71727
"María I de Escocia",?,?,71676
"The Promised Neverland",?,?,71662
"XXX (álbum de Miguel Bosé)",?,?,71651
"Jim Carrey",?,?,71562
"Venom (película de 2018)",?,?,71505
"Adverbio",?,?,71274
"Titanic (película de 1997)",?,?,71104
"Panamá",?,?,70980
"Bombardeos atómicos de Hiroshima y Nagasaki",?,?,70977
"Estado",?,?,70952
"Lenin",?,?,70944
"Sistema Internacional de Unidades",?,?,70907
"Hernán Cortés",?,?,70877
"Google Maps",?,?,70797
"Jennifer Lawrence",?,?,70745
"Sarah Paulson",?,?,70667
"Guatemala",?,?,70663
"Nazismo",?,?,70653
"Carlos de Gales",?,?,70469
"Robert Downey Jr.",?,?,70384
"La Gioconda",?,?,70378
"Sistema endocrino",?,?,70354
"Patricia Viggiano",?,?,70283
"Justin Bieber",?,?,70276
"Viridiana Alatriste",?,?,70218
"Miguel Hidalgo y Costilla",?,?,70209
"Ernesto Fonseca Carrillo",?,?,70178
"Instagram",?,?,70076
"Jorge VI del Reino Unido",?,?,69991
"Copa América",?,?,69937
"Tales de Mileto",?,?,69813
"La voz (concurso)",?,?,69632
"Evolución humana",?,?,69592
"Psicopatía",?,?,69576
"René Descartes",?,?,69524
"Breaking Bad",?,?,69488
"Ezequiel Zamora",?,?,69484
"Siete maravillas del mundo antiguo",?,?,69302
"Floyd Mayweather, Jr.",?,?,69259
"Calentamiento global",?,?,69128
"Julio Verne",?,?,68964
"Biodiversidad",?,?,68938
"Tom Hardy",?,?,68879
"Volumen",?,?,68837
"Julio César",?,?,68691
"Canarias",?,?,68673
"Hardware",?,?,68502
"Chris Evans",?,?,68443
"Backstreet Boys",?,?,68426
"Barack Obama",?,?,68302
"Signo de puntuación",?,?,68299
"Estado de los Estados Unidos",?,?,68293
"Irlanda",?,?,68232
"Escopolamina",?,?,68225
"Loquito por ti",?,?,68187
"Viggo Mortensen",?,?,68080
